2023-07-12 14:59:14.6210|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending HEADERS frame for stream ID 1 with length 66 and flags END_HEADERS. |url: https://localhost/swagger/index.html|action: |
2023-07-12 14:59:14.7699|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 1024 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 999 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 65 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7714|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 16 and flags NONE. |url: |action: |
2023-07-12 14:59:14.7868|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received HEADERS frame for stream ID 3 with length 258 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-12 14:59:14.7868|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" received HEADERS frame for stream ID 5 with length 2389 and flags END_STREAM, END_HEADERS, PRIORITY. |url: |action: |
2023-07-12 14:59:14.8019|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending HEADERS frame for stream ID 5 with length 60 and flags END_HEADERS. |url: https://localhost/_framework/aspnetcore-browser-refresh.js|action: |
2023-07-12 14:59:14.8019|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 1 with length 0 and flags END_STREAM. |url: |action: |
2023-07-12 14:59:14.8019|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 5 with length 11998 and flags NONE. |url: |action: |
2023-07-12 14:59:14.8182|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending HEADERS frame for stream ID 3 with length 119 and flags END_HEADERS. |url: https://localhost/_vs/browserLink|action: |
2023-07-12 14:59:14.8182|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 3 with length 9986 and flags NONE. |url: |action: |
2023-07-12 14:59:14.8182|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 5 with length 0 and flags END_STREAM. |url: |action: |
2023-07-12 14:59:14.8182|0|TRACE|Microsoft.AspNetCore.Server.Kestrel.Http2|Connection id "0HMS2KM05QB3H" sending DATA frame for stream ID 3 with length 10240 and flags NONE. |url: |action: |
